########################################################################################
# This file contains data retrieved from the CDS https://cds.climate.copernicus.eu/datasets/insitu-observations-woudc-ozone-total-column-and-profiles
# This is a C3S product under the following licences:
# 20180314_Copernicus_License_V1.1
# woudc-data-policy
# This is a CSV file following the CDS convention cdm-obs
# Data source: TotalOzone
# Time extent: 20040101 - 20240630
# Geographic area (minlat/maxlat/minlon/maxlon): 52.10/52.10/5.18/5.18
# Variables selected and units:
# total_ozone_column [Dobson-units]
# standard_deviation_ozone [None]
# Uncertainty legend:
# No uncertainty columns available for this dataset.
########################################################################################
index,observation_id,report_id,observed_variable,observation_value,units,sensor_id,primary_station_id,height_of_station_above_sea_level,report_timestamp,longitude,latitude
0,1430156,59724,total_ozone_column,271.4,Dobson-units,MKIII,316,15.0,2004-01-01,5.18,52.1
1,1430156,59724,standard_deviation_ozone,2.6,None,MKIII,316,15.0,2004-01-01,5.18,52.1
2,1430157,59724,total_ozone_column,307.9,Dobson-units,MKIII,316,15.0,2004-01-02,5.18,52.1
3,1430157,59724,standard_deviation_ozone,2.9,None,MKIII,316,15.0,2004-01-02,5.18,52.1
4,1430158,59724,total_ozone_column,252.7,Dobson-units,MKIII,316,15.0,2004-01-03,5.18,52.1
5,1430158,59724,standard_deviation_ozone,3.1,None,MKIII,316,15.0,2004-01-03,5.18,52.1
6,1430159,59724,total_ozone_column,267.0,Dobson-units,MKIII,316,15.0,2004-01-04,5.18,52.1
7,1430159,59724,standard_deviation_ozone,1.7,None,MKIII,316,15.0,2004-01-04,5.18,52.1
8,1430160,59724,total_ozone_column,253.6,Dobson-units,MKIII,316,15.0,2004-01-05,5.18,52.1
9,1430160,59724,standard_deviation_ozone,2.9,None,MKIII,316,15.0,2004-01-05,5.18,52.1
10,1430161,59724,total_ozone_column,263.4,Dobson-units,MKIII,316,15.0,2004-01-06,5.18,52.1
11,1430161,59724,standard_deviation_ozone,4.6,None,MKIII,316,15.0,2004-01-06,5.18,52.1
12,1430162,59724,total_ozone_column,279.8,Dobson-units,MKIII,316,15.0,2004-01-08,5.18,52.1
13,1430162,59724,standard_deviation_ozone,5.0,None,MKIII,316,15.0,2004-01-08,5.18,52.1
14,1430163,59724,total_ozone_column,312.6,Dobson-units,MKIII,316,15.0,2004-01-09,5.18,52.1
15,1430163,59724,standard_deviation_ozone,8.0,None,MKIII,316,15.0,2004-01-09,5.18,52.1
16,1430164,59724,total_ozone_column,303.7,Dobson-units,MKIII,316,15.0,2004-01-10,5.18,52.1
17,1430164,59724,standard_deviation_ozone,5.6,None,MKIII,316,15.0,2004-01-10,5.18,52.1
18,1430165,59724,total_ozone_column,304.2,Dobson-units,MKIII,316,15.0,2004-01-11,5.18,52.1
19,1430165,59724,standard_deviation_ozone,8.0,None,MKIII,316,15.0,2004-01-11,5.18,52.1
20,1430166,59724,total_ozone_column,327.0,Dobson-units,MKIII,316,15.0,2004-01-12,5.18,52.1
21,1430166,59724,standard_deviation_ozone,3.3,None,MKIII,316,15.0,2004-01-12,5.18,52.1
22,1430167,59724,total_ozone_column,337.8,Dobson-units,MKIII,316,15.0,2004-01-13,5.18,52.1
23,1430167,59724,standard_deviation_ozone,2.0,None,MKIII,316,15.0,2004-01-13,5.18,52.1
24,1430168,59724,total_ozone_column,413.4,Dobson-units,MKIII,316,15.0,2004-01-14,5.18,52.1
25,1430168,59724,standard_deviation_ozone,9.9,None,MKIII,316,15.0,2004-01-14,5.18,52.1
26,1430169,59724,total_ozone_column,403.2,Dobson-units,MKIII,316,15.0,2004-01-15,5.18,52.1
27,1430169,59724,standard_deviation_ozone,3.0,None,MKIII,316,15.0,2004-01-15,5.18,52.1
28,1430170,59724,total_ozone_column,408.4,Dobson-units,MKIII,316,15.0,2004-01-16,5.18,52.1
29,1430170,59724,standard_deviation_ozone,9.1,None,MKIII,316,15.0,2004-01-16,5.18,52.1
30,1430171,59724,total_ozone_column,430.3,Dobson-units,MKIII,316,15.0,2004-01-17,5.18,52.1
31,1430171,59724,standard_deviation_ozone,6.7,None,MKIII,316,15.0,2004-01-17,5.18,52.1
32,1430172,59724,total_ozone_column,421.1,Dobson-units,MKIII,316,15.0,2004-01-18,5.18,52.1
33,1430172,59724,standard_deviation_ozone,9.6,None,MKIII,316,15.0,2004-01-18,5.18,52.1
34,1430173,59724,total_ozone_column,380.9,Dobson-units,MKIII,316,15.0,2004-01-19,5.18,52.1
35,1430173,59724,standard_deviation_ozone,5.0,None,MKIII,316,15.0,2004-01-19,5.18,52.1
36,1430174,59724,total_ozone_column,394.0,Dobson-units,MKIII,316,15.0,2004-01-20,5.18,52.1
37,1430174,59724,standard_deviation_ozone,1.4,None,MKIII,316,15.0,2004-01-20,5.18,52.1
38,1430175,59724,total_ozone_column,328.9,Dobson-units,MKIII,316,15.0,2004-01-21,5.18,52.1
39,1430175,59724,standard_deviation_ozone,2.8,None,MKIII,316,15.0,2004-01-21,5.18,52.1
40,1430176,59724,total_ozone_column,344.1,Dobson-units,MKIII,316,15.0,2004-01-22,5.18,52.1
41,1430176,59724,standard_deviation_ozone,9.4,None,MKIII,316,15.0,2004-01-22,5.18,52.1
42,1430177,59724,total_ozone_column,311.7,Dobson-units,MKIII,316,15.0,2004-01-23,5.18,52.1
43,1430177,59724,standard_deviation_ozone,2.3,None,MKIII,316,15.0,2004-01-23,5.18,52.1
44,1430178,59724,total_ozone_column,337.0,Dobson-units,MKIII,316,15.0,2004-01-24,5.18,52.1
45,1430178,59724,standard_deviation_ozone,6.9,None,MKIII,316,15.0,2004-01-24,5.18,52.1
46,1430179,59724,total_ozone_column,353.5,Dobson-units,MKIII,316,15.0,2004-01-25,5.18,52.1
47,1430179,59724,standard_deviation_ozone,3.9,None,MKIII,316,15.0,2004-01-25,5.18,52.1
48,1430180,59724,total_ozone_column,327.6,Dobson-units,MKIII,316,15.0,2004-01-26,5.18,52.1
49,1430180,59724,standard_deviation_ozone,2.5,None,MKIII,316,15.0,2004-01-26,5.18,52.1
50,1430181,59724,total_ozone_column,349.0,Dobson-units,MKIII,316,15.0,2004-01-27,5.18,52.1
51,1430181,59724,standard_deviation_ozone,4.5,None,MKIII,316,15.0,2004-01-27,5.18,52.1
52,1430182,59724,total_ozone_column,396.8,Dobson-units,MKIII,316,15.0,2004-01-28,5.18,52.1
53,1430182,59724,standard_deviation_ozone,1.8,None,MKIII,316,15.0,2004-01-28,5.18,52.1
54,1430183,59724,total_ozone_column,440.4,Dobson-units,MKIII,316,15.0,2004-01-29,5.18,52.1
55,1430183,59724,standard_deviation_ozone,5.7,None,MKIII,316,15.0,2004-01-29,5.18,52.1
56,1430184,59724,total_ozone_column,338.3,Dobson-units,MKIII,316,15.0,2004-01-30,5.18,52.1
57,1430184,59724,standard_deviation_ozone,4.5,None,MKIII,316,15.0,2004-01-30,5.18,52.1
58,1430185,59724,total_ozone_column,301.3,Dobson-units,MKIII,316,15.0,2004-01-31,5.18,52.1
59,1430185,59724,standard_deviation_ozone,7.9,None,MKIII,316,15.0,2004-01-31,5.18,52.1
60,1430186,59725,total_ozone_column,300.4,Dobson-units,MKIII,316,15.0,2004-02-01,5.18,52.1
61,1430186,59725,standard_deviation_ozone,3.7,None,MKIII,316,15.0,2004-02-01,5.18,52.1
62,1430187,59725,total_ozone_column,358.6,Dobson-units,MKIII,316,15.0,2004-02-02,5.18,52.1
63,1430187,59725,standard_deviation_ozone,9.5,None,MKIII,316,15.0,2004-02-02,5.18,52.1
64,1430188,59725,total_ozone_column,322.0,Dobson-units,MKIII,316,15.0,2004-02-03,5.18,52.1
65,1430188,59725,standard_deviation_ozone,1.8,None,MKIII,316,15.0,2004-02-03,5.18,52.1
66,1430189,59725,total_ozone_column,292.3,Dobson-units,MKIII,316,15.0,2004-02-04,5.18,52.1
