########################################################################################
# This file contains data retrieved from the CDS https://cds.climate.copernicus.eu/datasets/insitu-observations-woudc-ozone-total-column-and-profiles
# This is a C3S product under the following licences:
# 20180314_Copernicus_License_V1.1
# woudc-data-policy
# This is a CSV file following the CDS convention cdm-obs
# Data source: TotalOzone
# Time extent: 20040101 - 20250331
# Geographic area (minlat/maxlat/minlon/maxlon): 50.80/50.80/4.35/4.35
# Variables selected and units:
# total_ozone_column [Dobson-units]
# standard_deviation_ozone [None]
# Uncertainty legend:
# No uncertainty columns available for this dataset.
########################################################################################
index,observation_id,report_id,observed_variable,observation_value,units,sensor_id,primary_station_id,height_of_station_above_sea_level,report_timestamp,longitude,latitude
0,478841,19410,total_ozone_column,270.2,Dobson-units,MKII,53,100.0,2004-01-01,4.35,50.8
1,478868,19411,total_ozone_column,272.1,Dobson-units,MKIII,53,100.0,2004-01-01,4.35,50.8
2,478841,19410,standard_deviation_ozone,13.7,None,MKII,53,100.0,2004-01-01,4.35,50.8
3,478868,19411,standard_deviation_ozone,13.5,None,MKIII,53,100.0,2004-01-01,4.35,50.8
4,478842,19410,total_ozone_column,294.2,Dobson-units,MKII,53,100.0,2004-01-02,4.35,50.8
5,478869,19411,total_ozone_column,303.6,Dobson-units,MKIII,53,100.0,2004-01-02,4.35,50.8
6,478842,19410,standard_deviation_ozone,0.0,None,MKII,53,100.0,2004-01-02,4.35,50.8
7,478869,19411,standard_deviation_ozone,1.2,None,MKIII,53,100.0,2004-01-02,4.35,50.8
8,478870,19411,total_ozone_column,254.8,Dobson-units,MKIII,53,100.0,2004-01-03,4.35,50.8
9,478870,19411,standard_deviation_ozone,1.2,None,MKIII,53,100.0,2004-01-03,4.35,50.8
10,478871,19411,total_ozone_column,257.3,Dobson-units,MKIII,53,100.0,2004-01-04,4.35,50.8
11,478871,19411,standard_deviation_ozone,16.0,None,MKIII,53,100.0,2004-01-04,4.35,50.8
12,478843,19410,total_ozone_column,258.6,Dobson-units,MKII,53,100.0,2004-01-05,4.35,50.8
13,478872,19411,total_ozone_column,243.7,Dobson-units,MKIII,53,100.0,2004-01-05,4.35,50.8
14,478843,19410,standard_deviation_ozone,3.6,None,MKII,53,100.0,2004-01-05,4.35,50.8
15,478872,19411,standard_deviation_ozone,4.4,None,MKIII,53,100.0,2004-01-05,4.35,50.8
16,478844,19410,total_ozone_column,265.7,Dobson-units,MKII,53,100.0,2004-01-06,4.35,50.8
17,478873,19411,total_ozone_column,248.4,Dobson-units,MKIII,53,100.0,2004-01-06,4.35,50.8
18,478844,19410,standard_deviation_ozone,4.9,None,MKII,53,100.0,2004-01-06,4.35,50.8
19,478873,19411,standard_deviation_ozone,3.7,None,MKIII,53,100.0,2004-01-06,4.35,50.8
20,478845,19410,total_ozone_column,265.9,Dobson-units,MKII,53,100.0,2004-01-07,4.35,50.8
21,478874,19411,total_ozone_column,260.7,Dobson-units,MKIII,53,100.0,2004-01-07,4.35,50.8
22,478845,19410,standard_deviation_ozone,2.0,None,MKII,53,100.0,2004-01-07,4.35,50.8
23,478874,19411,standard_deviation_ozone,11.6,None,MKIII,53,100.0,2004-01-07,4.35,50.8
24,478846,19410,total_ozone_column,289.3,Dobson-units,MKII,53,100.0,2004-01-08,4.35,50.8
25,478875,19411,total_ozone_column,270.3,Dobson-units,MKIII,53,100.0,2004-01-08,4.35,50.8
26,478846,19410,standard_deviation_ozone,2.7,None,MKII,53,100.0,2004-01-08,4.35,50.8
27,478875,19411,standard_deviation_ozone,4.3,None,MKIII,53,100.0,2004-01-08,4.35,50.8
28,478847,19410,total_ozone_column,337.3,Dobson-units,MKII,53,100.0,2004-01-09,4.35,50.8
29,478876,19411,total_ozone_column,317.4,Dobson-units,MKIII,53,100.0,2004-01-09,4.35,50.8
30,501930,20339,total_ozone_column,282.4,Dobson-units,Beck,53,100.0,2004-01-09,4.35,50.8
31,478847,19410,standard_deviation_ozone,0.0,None,MKII,53,100.0,2004-01-09,4.35,50.8
32,478876,19411,standard_deviation_ozone,7.0,None,MKIII,53,100.0,2004-01-09,4.35,50.8
33,501930,20339,standard_deviation_ozone,0.0,None,Beck,53,100.0,2004-01-09,4.35,50.8
34,478848,19410,total_ozone_column,299.6,Dobson-units,MKII,53,100.0,2004-01-10,4.35,50.8
35,478877,19411,total_ozone_column,291.9,Dobson-units,MKIII,53,100.0,2004-01-10,4.35,50.8
36,478848,19410,standard_deviation_ozone,2.2,None,MKII,53,100.0,2004-01-10,4.35,50.8
37,478877,19411,standard_deviation_ozone,0.8,None,MKIII,53,100.0,2004-01-10,4.35,50.8
38,478849,19410,total_ozone_column,310.8,Dobson-units,MKII,53,100.0,2004-01-11,4.35,50.8
39,478878,19411,total_ozone_column,296.3,Dobson-units,MKIII,53,100.0,2004-01-11,4.35,50.8
40,478849,19410,standard_deviation_ozone,0.0,None,MKII,53,100.0,2004-01-11,4.35,50.8
41,478878,19411,standard_deviation_ozone,0.0,None,MKIII,53,100.0,2004-01-11,4.35,50.8
42,478850,19410,total_ozone_column,333.6,Dobson-units,MKII,53,100.0,2004-01-12,4.35,50.8
43,478850,19410,standard_deviation_ozone,0.0,None,MKII,53,100.0,2004-01-12,4.35,50.8
44,478851,19410,total_ozone_column,338.5,Dobson-units,MKII,53,100.0,2004-01-13,4.35,50.8
45,478879,19411,total_ozone_column,330.4,Dobson-units,MKIII,53,100.0,2004-01-13,4.35,50.8
46,478851,19410,standard_deviation_ozone,2.4,None,MKII,53,100.0,2004-01-13,4.35,50.8
47,478879,19411,standard_deviation_ozone,4.5,None,MKIII,53,100.0,2004-01-13,4.35,50.8
48,478852,19410,total_ozone_column,413.9,Dobson-units,MKII,53,100.0,2004-01-14,4.35,50.8
49,478852,19410,standard_deviation_ozone,2.9,None,MKII,53,100.0,2004-01-14,4.35,50.8
50,478853,19410,total_ozone_column,404.0,Dobson-units,MKII,53,100.0,2004-01-15,4.35,50.8
