x,y,identifier,file_path,dataset_id,station_id,station_name,station_gaw_id,station_gaw_url,contributor_name,contributor_id,contributor_url,country_id,country_name_en,country_name_fr,gaw_id,instrument_name,instrument_model,instrument_serial,observation_date,daily_date,daily_wlcode,daily_obscode,daily_columno3,daily_stdevo3,daily_utc_begin,daily_utc_end,daily_utc_mean,daily_nobs,daily_mmu,daily_columnso2,monthly_date,monthly_columno3,monthly_stdevo3,monthly_npts,url
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-31:20131201.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-31T00:00:00Z,9,5,354.5,4.7,9.82,13.48,11.65,11.0,3.98,-1.6,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-31:20131201.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-31T00:00:00Z,9,5,356.8,6.4,9.82,13.48,11.65,11.0,3.99,,2013-12-01T00:00:00Z,310.1,39.8,31.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-30:20131201.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-30T00:00:00Z,9,0,301.8,1.3,9.76,12.66,11.02,13.0,4.09,-0.8,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-30:20131201.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-30T00:00:00Z,9,0,301.8,1.3,9.76,12.66,11.02,13.0,4.09,2.4,2013-12-01T00:00:00Z,310.1,39.8,31.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-29:20131201.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-29T00:00:00Z,9,0,350.4,3.9,9.89,12.65,11.22,14.0,3.92,-0.3,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-29:20131201.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-29T00:00:00Z,9,0,350.4,3.9,9.89,12.64,11.22,14.0,3.92,3.5,2013-12-01T00:00:00Z,310.1,39.8,31.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-28:20131201.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-28T00:00:00Z,9,0,323.5,6.0,9.89,13.58,11.75,18.0,4.23,-0.2,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-28:20131201.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-28T00:00:00Z,9,0,323.5,6.0,9.89,13.58,11.75,18.0,4.23,3.3,2013-12-01T00:00:00Z,310.1,39.8,31.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-27:20131201.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-27T00:00:00Z,9,5,290.6,6.2,9.81,13.47,11.65,11.0,4.05,2.0,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-27:20131201.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-27T00:00:00Z,9,5,293.2,6.4,9.81,13.47,11.65,11.0,4.06,,2013-12-01T00:00:00Z,310.1,39.8,31.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-26:20131201.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-26T00:00:00Z,9,5,393.2,6.0,9.81,13.47,11.65,11.0,4.15,-4.7,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-26:20131201.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-26T00:00:00Z,9,5,393.5,10.9,9.81,13.47,11.65,11.0,4.19,,2013-12-01T00:00:00Z,310.1,39.8,31.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-25:20131201.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-25T00:00:00Z,9,0,390.2,4.9,9.88,13.19,11.62,16.0,4.02,-0.5,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-25:20131201.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-25T00:00:00Z,9,0,390.3,4.9,9.88,13.19,11.55,15.0,4.02,3.7,2013-12-01T00:00:00Z,310.1,39.8,31.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-24:20131201.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-24T00:00:00Z,9,5,329.9,4.8,9.80,13.11,11.45,10.0,4.12,2.5,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-24:20131201.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-24T00:00:00Z,9,5,331.2,7.2,9.80,13.11,11.45,10.0,4.13,,2013-12-01T00:00:00Z,310.1,39.8,31.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-12-23:20131201.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-12-01T00:00:00Z,2013-12-23T00:00:00Z,9,0,360.1,3.5,10.10,11.55,11.00,6.0,4.14,-0.6,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131201.brewer.mkiii.189.knmi.csv
