Title:,"Time Series, Area-Averaged of Total column ozone monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2004-01-01T00:00:00Z
User End Date:,2025-12-31T23:59:59Z
User Bounding Box:,"4,50.5,4.5,51"
Data Bounding Box:,"4.375,50.5,4.375,50.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-01-01T00:00:00Z&endtime=2025-12-31T23:59:59Z&bbox=4,50.5,4.5,51&data=M2IMNXASM_5_12_4_TO3%2CM2TMNXSLV_5_12_4_TO3%2CM2TMNXCHM_5_12_4_TO3&dataKeyword=ozone%20total%20column&portal=GIOVANNI&format=json"
Fill Value (M2TMNXCHM_5_12_4_TO3):, 1000000000000000

time, M2TMNXCHM_5_12_4_TO3
2004-01-01 00:00:00,332.896729
2004-02-01 00:00:00,359.524963
2004-03-01 00:00:00,374.796295
2004-04-01 00:00:00,370.800049
2004-05-01 00:00:00,370.335571
2004-06-01 00:00:00,347.602142
2004-07-01 00:00:00,331.396149
2004-08-01 00:00:00,315.862366
2004-09-01 00:00:00,287.34848
2004-10-01 00:00:00,285.684509
2004-11-01 00:00:00,276.283966
2004-12-01 00:00:00,300.812866
2005-01-01 00:00:00,311.915833
2005-02-01 00:00:00,343.469818
2005-03-01 00:00:00,336.031006
2005-04-01 00:00:00,365.317383
2005-05-01 00:00:00,346.853271
2005-06-01 00:00:00,327.121887
2005-07-01 00:00:00,330.670807
2005-08-01 00:00:00,313.155029
2005-09-01 00:00:00,283.48764
2005-10-01 00:00:00,274.02301
2005-11-01 00:00:00,286.9729
2005-12-01 00:00:00,314.162476
2006-01-01 00:00:00,299.989105
2006-02-01 00:00:00,363.705109
2006-03-01 00:00:00,377.951141
2006-04-01 00:00:00,377.156158
2006-05-01 00:00:00,362.8349
2006-06-01 00:00:00,332.914001
2006-07-01 00:00:00,316.723969
2006-08-01 00:00:00,332.363007
2006-09-01 00:00:00,280.398315
2006-10-01 00:00:00,270.129211
2006-11-01 00:00:00,283.416931
2006-12-01 00:00:00,280.978455
2007-01-01 00:00:00,319.666504
2007-02-01 00:00:00,350.495361
2007-03-01 00:00:00,393.528229
2007-04-01 00:00:00,343.750946
2007-05-01 00:00:00,341.936859
2007-06-01 00:00:00,339.045013
2007-07-01 00:00:00,329.625214
2007-08-01 00:00:00,310.780365
2007-09-01 00:00:00,294.209869
2007-10-01 00:00:00,269.842316
2007-11-01 00:00:00,271.277588
2007-12-01 00:00:00,299.233612
2008-01-01 00:00:00,305.430023
2008-02-01 00:00:00,304.882355
2008-03-01 00:00:00,371.6362
2008-04-01 00:00:00,374.304352
2008-05-01 00:00:00,346.292755
2008-06-01 00:00:00,333.519928
2008-07-01 00:00:00,325.290314
2008-08-01 00:00:00,308.762695
2008-09-01 00:00:00,284.87973
2008-10-01 00:00:00,278.77478
2008-11-01 00:00:00,284.521637
2008-12-01 00:00:00,294.055542
2009-01-01 00:00:00,353.490784
2009-02-01 00:00:00,391.807434
2009-03-01 00:00:00,361.709839
2009-04-01 00:00:00,353.587494
2009-05-01 00:00:00,337.332306
2009-06-01 00:00:00,339.291962
2009-07-01 00:00:00,324.94162
2009-08-01 00:00:00,299.321106
2009-09-01 00:00:00,295.164581
2009-10-01 00:00:00,279.357971
2009-11-01 00:00:00,288.016663
2009-12-01 00:00:00,332.498413
2010-01-01 00:00:00,353.656647
2010-02-01 00:00:00,370.961426
2010-03-01 00:00:00,395.008484
2010-04-01 00:00:00,379.159515
2010-05-01 00:00:00,372.846619
2010-06-01 00:00:00,348.759949
2010-07-01 00:00:00,328.513885
2010-08-01 00:00:00,323.297516
2010-09-01 00:00:00,306.713837
2010-10-01 00:00:00,289.197144
2010-11-01 00:00:00,314.863159
2010-12-01 00:00:00,335.795013
2011-01-01 00:00:00,336.599548
2011-02-01 00:00:00,341.905182
2011-03-01 00:00:00,344.847107
2011-04-01 00:00:00,335.549713
2011-05-01 00:00:00,341.665802
2011-06-01 00:00:00,334.531738
2011-07-01 00:00:00,332.13974
2011-08-01 00:00:00,302.375336
2011-09-01 00:00:00,281.809601
2011-10-01 00:00:00,273.373993
2011-11-01 00:00:00,269.506104
2011-12-01 00:00:00,277.1716
2012-01-01 00:00:00,282.477417
2012-02-01 00:00:00,327.387939
2012-03-01 00:00:00,330.033936
2012-04-01 00:00:00,372.705627
2012-05-01 00:00:00,352.087067
2012-06-01 00:00:00,335.009491
2012-07-01 00:00:00,332.406158
